# xs, ys, ls, ks
3.159999999999997274e-06,8.499999996625103860e-01,2.314979178212698496e+00,8.216415094549116560e-01
3.169110213867426918e-06,8.500000730513996849e-01,2.317228063079022959e+00,8.217700842820203633e-01
3.178246692290777820e-06,8.500001466173214837e-01,2.319479095125142720e+00,8.218986305848101637e-01
3.187409510990214710e-06,8.500002203606740192e-01,2.321732276637293424e+00,8.220271482937100416e-01
3.196598745904202189e-06,8.500002942818620788e-01,2.323987623524434110e+00,8.221556371404883379e-01
3.205814473190134502e-06,8.500003683812884514e-01,2.326245145431173444e+00,8.222840969503408814e-01
3.215056769224964880e-06,8.500004426593527063e-01,2.328504842376028172e+00,8.224125276895239978e-01
3.224325710605840815e-06,8.500005171164550788e-01,2.330766714506890214e+00,8.225409293222814000e-01
3.233621374150736793e-06,8.500005917529969146e-01,2.333030762099912003e+00,8.226693018108424127e-01
3.242943836899092961e-06,8.500006665693802255e-01,2.335296985558263483e+00,8.227976451155001314e-01
3.252293176112458441e-06,8.500007415660081334e-01,2.337565385410759866e+00,8.229259591946131991e-01
3.261669469275106285e-06,8.500008167432844264e-01,2.339835962310340634e+00,8.230542440046608732e-01
3.271072794094714905e-06,8.500008921016140029e-01,2.342108717032430398e+00,8.231824995003531598e-01
3.280503228502985141e-06,8.500009676414026494e-01,2.344383650473129688e+00,8.233107256345757463e-01
3.289960850656294170e-06,8.500010433630567075e-01,2.346660763647278714e+00,8.234389223585303341e-01
3.299445738936341791e-06,8.500011192669838511e-01,2.348940057686350169e+00,8.235670896217346382e-01
3.308957971950800522e-06,8.500011953535925313e-01,2.351221533836199029e+00,8.236952273720987705e-01
3.318497628533967818e-06,8.500012716232917542e-01,2.353505193454641820e+00,8.238233355559767546e-01
3.328064787747418284e-06,8.500013480764919693e-01,2.355791038008871130e+00,8.239514141182198159e-01
3.337659528880659281e-06,8.500014247136041812e-01,2.358079069072699596e+00,8.240794630022243439e-01
3.347281931451788220e-06,8.500015015350402825e-01,2.360369288323629355e+00,8.242074821500278148e-01
3.356932075208151981e-06,8.500015785412131653e-01,2.362661697539735872e+00,8.243354715023283319e-01
3.366610040127006749e-06,8.500016557325364985e-01,2.364956298596371909e+00,8.244634309985965359e-01
3.376315906416182087e-06,8.500017331094250617e-01,2.367253093462674318e+00,8.245913605770791577e-01
3.386049754514744169e-06,8.500018106722943001e-01,2.369552084197878994e+00,8.247192601749286922e-01
3.395811665093664503e-06,8.500018884215606585e-01,2.371853272947435087e+00,8.248471297282424786e-01
3.405601719056486130e-06,8.500019663576414697e-01,2.374156661938906066e+00,8.249749691721035560e-01
3.415419997539995742e-06,8.500020444809549547e-01,2.376462253477666486e+00,8.251027784407423127e-01
3.425266581914903425e-06,8.500021227919229982e-01,2.378770054654698374e+00,8.252305574028984125e-01
3.435141553786487677e-06,8.500022012909788094e-01,2.381080090783699976e+00,8.253583056788595940e-01
3.445044994995313265e-06,8.500022799785433847e-01,2.383392364334556923e+00,8.254860232040925894e-01
3.454976987617885138e-06,8.500023588550360554e-01,2.385706874331076754e+00,8.256137099611358110e-01
3.464937613967330287e-06,8.500024379208774850e-01,2.388023619940091713e+00,8.257413659302645925e-01
3.474926956594085110e-06,8.500025171764892251e-01,2.390342600471317525e+00,8.258689910895640196e-01
3.484945098286575162e-06,8.500025966222934937e-01,2.392663815377104708e+00,8.259965854148969555e-01
3.494992122071905056e-06,8.500026762587139517e-01,2.394987264252090853e+00,8.261241488799928590e-01
3.505068111216543294e-06,8.500027560861747045e-01,2.397312946832735658e+00,8.262516814564566658e-01
3.515173149227015138e-06,8.500028361051010783e-01,2.399640862996749391e+00,8.263791831137918820e-01
3.525307319850592943e-06,8.500029163159195100e-01,2.401971012762402768e+00,8.265066538194378865e-01
3.535470707075989877e-06,8.500029967190569913e-01,2.404303396287713834e+00,8.266340935388498679e-01
3.545663395134058297e-06,8.500030773149417351e-01,2.406638013869517145e+00,8.267615022354739551e-01
3.555885468498484744e-06,8.500031581040029538e-01,2.408974865942398402e+00,8.268888798708200483e-01
3.566137011886493399e-06,8.500032390866707477e-01,2.411313953077503847e+00,8.270162264045133327e-01
3.576418110259545313e-06,8.500033202633759943e-01,2.413655275981207993e+00,8.271435417943049373e-01
3.586728848824043137e-06,8.500034016345509036e-01,2.415998835493645913e+00,8.272708259961429889e-01
3.597069313032039238e-06,8.500034832006283514e-01,2.418344632587102971e+00,8.273980789641939282e-01
3.607439588581948907e-06,8.500035649620422129e-01,2.420692668364250011e+00,8.275253006509117881e-01
3.617839761419231793e-06,8.500036469192273625e-01,2.423042944056229775e+00,8.276524910070772734e-01
3.628269917737149573e-06,8.500037290726196737e-01,2.425395461020591004e+00,8.277796499818279585e-01
3.638730143977449513e-06,8.500038114226560193e-01,2.427750220739054665e+00,8.279067775227506587e-01
3.649220526831088252e-06,8.500038939697740492e-01,2.430107224815115874e+00,8.280338735758867585e-01
3.659741153238950933e-06,8.500039767144126346e-01,2.432466474971476167e+00,8.281609380858352409e-01
3.670292110392571610e-06,8.500040596570113127e-01,2.434827973047299476e+00,8.282879709957597925e-01
3.680873485734855339e-06,8.500041427980107311e-01,2.437191720995288691e+00,8.284149722474722921e-01
3.691485366960803662e-06,8.500042261378525366e-01,2.439557720878574365e+00,8.285419417814932075e-01
3.702127842018240515e-06,8.500043096769792639e-01,2.441925974867416471e+00,8.286688795371031091e-01
3.712800999108541949e-06,8.500043934158344472e-01,2.444296485235705418e+00,8.287957854524243828e-01
3.723504926687366693e-06,8.500044773548718346e-01,2.446669268847662337e+00,8.289226592802645399e-01
3.734239713465389260e-06,8.500045614945485051e-01,2.449044346305245590e+00,8.290495007281979412e-01
3.745005448409034328e-06,8.500046458353085477e-01,2.451421716988442245e+00,8.291763097746986944e-01
3.755802220741217046e-06,8.500047303775971619e-01,2.453801380284813316e+00,8.293030863979229395e-01
3.766630119942077834e-06,8.500048151218604353e-01,2.456183335726553896e+00,8.294298305739431498e-01
3.777489235749728195e-06,8.500049000685455658e-01,2.458567582990013545e+00,8.295565422768085284e-01
3.788379658160992293e-06,8.500049852181007504e-01,2.460954121895098101e+00,8.296832214786018511e-01
3.799301477432160390e-06,8.500050705709750742e-01,2.463342952404556918e+00,8.298098681494057161e-01
3.810254784079707553e-06,8.500051561276188439e-01,2.465734074623135541e+00,8.299364822574233358e-01
3.821239668881089016e-06,8.500052418884830319e-01,2.468127488796619584e+00,8.300630637689128122e-01
3.832256222875459736e-06,8.500053278540200541e-01,2.470523195310731168e+00,8.301896126483434557e-01
3.843304537364442653e-06,8.500054140246831036e-01,2.472921194689901458e+00,8.303161288583353894e-01
