# xs, ys, ls, ks
3.159999999999997274e-06,7.000000001866726329e-01,5.130305983072556586e+00,7.839170825498786854e-01
3.169110213867426918e-06,7.000007461322356184e-01,5.135134885965139340e+00,7.840887192442682618e-01
3.178246692290777820e-06,7.000014938485015215e-01,5.139968151995755186e+00,7.842602914876941611e-01
3.187409510990214710e-06,7.000022433393464638e-01,5.144805784079265365e+00,7.844317992713776277e-01
3.196598745904202189e-06,7.000029946086546717e-01,5.149647785375462306e+00,7.846032425849607250e-01
3.205814473190134502e-06,7.000037476603188091e-01,5.154494159283373733e+00,7.847746214165667311e-01
3.215056769224964880e-06,7.000045024982396447e-01,5.159344909435191084e+00,7.849459357528640879e-01
3.224325710605840815e-06,7.000052591263263846e-01,5.164200039689813337e+00,7.851171855791090337e-01
3.233621374150736793e-06,7.000060175484962288e-01,5.169059554126016032e+00,7.852883708791846828e-01
3.242943836899092961e-06,7.000067777686750370e-01,5.173923457039507845e+00,7.854594916357182655e-01
3.252293176112458441e-06,7.000075397909031327e-01,5.178791790146154206e+00,7.856305475972433783e-01
3.261669469275106285e-06,7.000083036192108477e-01,5.183664589103136322e+00,7.858015385524126373e-01
3.271072794094714905e-06,7.000090692575273721e-01,5.188541851886201428e+00,7.859724645264147824e-01
3.280503228502985141e-06,7.000098367097908891e-01,5.193423576769904848e+00,7.861433255422696220e-01
3.289960850656294170e-06,7.000106059799481306e-01,5.198309762326817740e+00,7.863141216208546780e-01
3.299445738936341791e-06,7.000113770719545991e-01,5.203200407426503915e+00,7.864848527809016332e-01
3.308957971950800522e-06,7.000121499897744570e-01,5.208095511234258623e+00,7.866555190390798202e-01
3.318497628533967818e-06,7.000129247373805264e-01,5.212995073209614638e+00,7.868261204099784578e-01
3.328064787747418284e-06,7.000137013187543999e-01,5.217899093104582775e+00,7.869966569061723760e-01
3.337659528880659281e-06,7.000144797378865524e-01,5.222807570961649937e+00,7.871671285382308980e-01
3.347281931451788220e-06,7.000152599987757851e-01,5.227720507111503601e+00,7.873375353147764599e-01
3.356932075208151981e-06,7.000160421054300031e-01,5.232637902170487187e+00,7.875078772425272433e-01
3.366610040127006749e-06,7.000168260618656602e-01,5.237559757037764108e+00,7.876781543263238206e-01
3.376315906416182087e-06,7.000176118721079810e-01,5.242486072892207360e+00,7.878483665691362603e-01
3.386049754514744169e-06,7.000183995401908499e-01,5.247416851188974718e+00,7.880185139721742615e-01
3.395811665093664503e-06,7.000191890701570330e-01,5.252352093655789922e+00,7.881885965348587320e-01
3.405601719056486130e-06,7.000199804660579561e-01,5.257291802288898808e+00,7.883586142549390274e-01
