# xs, ys, ls, ks
3.159999999999997274e-06,7.999999994985584895e-01,1.878563313830300952e-01,3.805235745720233348e-02
3.169110213867426918e-06,8.000000805498805878e-01,1.880385538885840091e-01,3.805974558355813830e-02
3.178246692290777820e-06,8.000001617965959433e-01,1.882209496857359110e-01,3.806713126599539643e-02
3.187409510990214710e-06,8.000002432391410956e-01,1.884035187584502391e-01,3.807451450541368687e-02
3.196598745904202189e-06,8.000003248779535836e-01,1.885862611017287138e-01,3.808189530260538969e-02
3.205814473190134502e-06,8.000004067134717234e-01,1.887691767215445016e-01,3.808927365825766354e-02
3.215056769224964880e-06,8.000004887461352743e-01,1.889522656347670804e-01,3.809664957295418736e-02
3.224325710605840815e-06,8.000005709763846617e-01,1.891355278690762809e-01,3.810402304717704774e-02
3.233621374150736793e-06,8.000006534046611995e-01,1.893189634628667239e-01,3.811139408130840428e-02
3.242943836899092961e-06,8.000007360314075333e-01,1.895025724651408783e-01,3.811876267563283488e-02
3.252293176112458441e-06,8.000008188570668644e-01,1.896863549353914880e-01,3.812612883033934114e-02
3.261669469275106285e-06,8.000009018820838369e-01,1.898703109434718983e-01,3.813349254552313855e-02
3.271072794094714905e-06,8.000009851069036504e-01,1.900544405694561123e-01,3.814085382118852230e-02
3.280503228502985141e-06,8.000010685319728365e-01,1.902387439034853023e-01,3.814821265725051869e-02
3.289960850656294170e-06,8.000011521577385931e-01,1.904232210456024976e-01,3.815556905353799377e-02
3.299445738936341791e-06,8.000012359846494503e-01,1.906078721055746439e-01,3.816292300979524932e-02
3.308957971950800522e-06,8.000013200131546043e-01,1.907926972027014223e-01,3.817027452568549223e-02
3.318497628533967818e-06,8.000014042437043615e-01,1.909776964656104692e-01,3.817762360079279133e-02
3.328064787747418284e-06,8.000014886767501388e-01,1.911628700320387175e-01,3.818497023462525536e-02
3.337659528880659281e-06,8.000015733127441298e-01,1.913482180485996387e-01,3.819231442661755876e-02
3.347281931451788220e-06,8.000016581521396386e-01,1.915337406705356349e-01,3.819965617613391845e-02
3.356932075208151981e-06,8.000017431953909686e-01,1.917194380614554439e-01,3.820699548247129956e-02
3.366610040127006749e-06,8.000018284429533111e-01,1.919053103930560555e-01,3.821433234486230901e-02
3.376315906416182087e-06,8.000019138952841891e-01,1.920913580660424946e-01,3.822166676065723301e-02
3.386049754514744169e-06,8.000019995528495631e-01,1.922775826518729192e-01,3.822899871761140100e-02
3.395811665093664503e-06,8.000020854161077333e-01,1.924639844191233240e-01,3.823632821426685424e-02
3.405601719056486130e-06,8.000021714855167776e-01,1.926505633715820398e-01,3.824365525133999882e-02
3.415419997539995742e-06,8.000022577615356623e-01,1.928373195237887416e-01,3.825097982944965225e-02
3.425266581914903425e-06,8.000023442446241306e-01,1.930242529009366381e-01,3.825830194911838955e-02
3.435141553786487677e-06,8.000024309352433693e-01,1.932113635387630035e-01,3.826562161077467356e-02
3.445044994995313265e-06,8.000025178338551202e-01,1.933986514834299675e-01,3.827293881475497817e-02
3.454976987617885138e-06,8.000026049409224571e-01,1.935861167913922321e-01,3.828025356130555085e-02
3.464937613967330287e-06,8.000026922569094534e-01,1.937737595292540471e-01,3.828756585058497308e-02
3.474926956594085110e-06,8.000027797822809594e-01,1.939615797736135017e-01,3.829487568266615183e-02
3.484945098286575162e-06,8.000028675175031578e-01,1.941495776108942695e-01,3.830218305753873426e-02
3.494992122071905056e-06,8.000029554630431194e-01,1.943377531371645872e-01,3.830948797511130738e-02
3.505068111216543294e-06,8.000030436193689143e-01,1.945261064579430765e-01,3.831679043521424299e-02
3.515173149227015138e-06,8.000031319869495006e-01,1.947146376879905216e-01,3.832409043760191120e-02
3.525307319850592943e-06,8.000032205662551688e-01,1.949033469510881300e-01,3.833138798195553226e-02
3.535470707075989877e-06,8.000033093577569865e-01,1.950922343798006664e-01,3.833868306788571628e-02
3.545663395134058297e-06,8.000033983619270206e-01,1.952813001152256256e-01,3.834597569493561342e-02
3.555885468498484744e-06,8.000034875792385591e-01,1.954705443067262793e-01,3.835326586258339804e-02
3.566137011886493399e-06,8.000035770101656674e-01,1.956599671116499572e-01,3.836055357024546059e-02
3.576418110259545313e-06,8.000036666551836317e-01,1.958495686950292580e-01,3.836783881727959949e-02
3.586728848824043137e-06,8.000037565147686269e-01,1.960393492292677453e-01,3.837512160298804653e-02
3.597069313032039238e-06,8.000038465893979378e-01,1.962293088938078800e-01,3.838240192662064482e-02
3.607439588581948907e-06,8.000039368795496264e-01,1.964194478747820494e-01,3.838967978737843623e-02
3.617839761419231793e-06,8.000040273857029760e-01,1.966097663646452220e-01,3.839695518441706146e-02
3.628269917737149573e-06,8.000041181083482611e-01,1.968002657459742843e-01,3.840422810766066369e-02
3.638730143977449513e-06,8.000042090479769774e-01,1.969909474980901798e-01,3.841149854637659899e-02
3.649220526831088252e-06,8.000043002050688523e-01,1.971818115352370893e-01,3.841876650201840604e-02
3.659741153238950933e-06,8.000043915801047234e-01,1.973728577793208427e-01,3.842603197596392711e-02
3.670292110392571610e-06,8.000044831735664275e-01,1.975640861641587143e-01,3.843329496948326429e-02
3.680873485734855339e-06,8.000045749859369115e-01,1.977554966354628796e-01,3.844055548373989661e-02
3.691485366960803662e-06,8.000046670177001218e-01,1.979470891508154917e-01,3.844781351979240785e-02
3.702127842018240515e-06,8.000047592693412257e-01,1.981388636796345970e-01,3.845506907859548573e-02
3.712800999108541949e-06,8.000048517413463900e-01,1.983308202031310585e-01,3.846232216100160806e-02
3.723504926687366693e-06,8.000049444342028915e-01,1.985229587142557095e-01,3.846957276776268031e-02
3.734239713465389260e-06,8.000050373483991173e-01,1.987152792176368477e-01,3.847682089953120138e-02
3.745005448409034328e-06,8.000051304844245648e-01,1.989077817295074602e-01,3.848406655686242850e-02
3.755802220741217046e-06,8.000052238427696194e-01,1.991004662776222345e-01,3.849130974021572338e-02
3.766630119942077834e-06,8.000053174239261100e-01,1.992933329011634669e-01,3.849855044995652287e-02
3.777489235749728195e-06,8.000054112283867536e-01,1.994863816506361742e-01,3.850578868635820551e-02
3.788379658160992293e-06,8.000055052566452662e-01,1.996796125877515482e-01,3.851302444960384014e-02
3.799301477432160390e-06,8.000055995091965855e-01,1.998730257852990577e-01,3.852025773978837858e-02
3.810254784079707553e-06,8.000056939865368699e-01,2.000666213270052285e-01,3.852748855692054997e-02
3.821239668881089016e-06,8.000057886891630554e-01,2.002603993073821531e-01,3.853471690092528240e-02
3.832256222875459736e-06,8.000058836175732990e-01,2.004543598315607633e-01,3.854194277164536137e-02
3.843304537364442653e-06,8.000059787722670901e-01,2.006485030151124727e-01,3.854916616884426772e-02
3.854384703912877042e-06,8.000060741537448061e-01,2.008428289838566083e-01,3.855638709220844673e-02
3.865496814349585077e-06,8.000061697625077128e-01,2.010373378736538819e-01,3.856360554134925095e-02
3.876640960768127386e-06,8.000062655990585192e-01,2.012320298301858157e-01,3.857082151580631252e-02
3.887817235527568771e-06,8.000063616639008224e-01,2.014269050087188762e-01,3.857803501504922933e-02
3.899025731253244766e-06,8.000064579575394408e-01,2.016219635738538962e-01,3.858524603848097201e-02
3.910266540837526514e-06,8.000065544804801920e-01,2.018172056992597052e-01,3.859245458544017376e-02
3.921539757440590719e-06,8.000066512332298929e-01,2.020126315673904938e-01,3.859966065520419737e-02
3.932845474491196373e-06,8.000067482162982468e-01,2.022082415459169891e-01,3.860686424570985986e-02
3.944183785687452169e-06,8.000068454302129428e-01,2.024040378856319378e-01,3.861406534128070805e-02
3.955554784997598311e-06,8.000069428754874590e-01,2.026000211628057046e-01,3.862126393847882533e-02
3.966958566660783247e-06,8.000070405526303885e-01,2.027961913181674791e-01,3.862846003847421328e-02
3.978395225187843783e-06,8.000071384621514348e-01,2.029925483044997259e-01,3.863565364233591259e-02
3.989864855362091977e-06,8.000072366045617445e-01,2.031890920866025185e-01,3.864284475103341859e-02
4.001367552240102881e-06,8.000073349803733525e-01,2.033858226412486314e-01,3.865003336543823553e-02
4.012903411152476869e-06,8.000074335900994038e-01,2.035827399571280560e-01,3.865721948632523663e-02
4.024472527704673118e-06,8.000075324342544869e-01,2.037798440347835249e-01,3.866440311437420452e-02
4.036074997777769399e-06,8.000076315133540783e-01,2.039771348865351552e-01,3.867158425017160756e-02
4.047710917529270142e-06,8.000077308279147648e-01,2.041746125363940179e-01,3.867876289421192521e-02
4.059380383393897568e-06,8.000078303784545763e-01,2.043722770199654648e-01,3.868593904689983376e-02
4.071083492084393828e-06,8.000079301654925423e-01,2.045701283843406326e-01,3.869311270855159413e-02
4.082820340592321448e-06,8.000080301895486912e-01,2.047681666879760665e-01,3.870028387939716125e-02
4.094591026188868014e-06,8.000081304511443836e-01,2.049663920005620754e-01,3.870745255958203679e-02
4.106395646425653391e-06,8.000082309508020906e-01,2.051648044028777373e-01,3.871461874916937163e-02
4.118234299135532712e-06,8.000083316890456153e-01,2.053634039866338301e-01,3.872178244814180464e-02
4.130107082433415455e-06,8.000084326663994272e-01,2.055621908543023291e-01,3.872894365640369707e-02
4.142014094717072674e-06,8.000085338833897719e-01,2.057611651189324709e-01,3.873610237378349169e-02
4.153955434667952681e-06,8.000086353405434503e-01,2.059603269039527729e-01,3.874325860003597494e-02
4.165931201252002676e-06,8.000087370383889285e-01,2.061596763429591195e-01,3.875041233484421282e-02
4.177941493720485283e-06,8.000088389774555608e-01,2.063592135794875271e-01,3.875756357782272205e-02
4.189986411610802715e-06,8.000089411582737009e-01,2.065589387667725596e-01,3.876471232851916304e-02
4.202066054747320936e-06,8.000090435813753675e-01,2.067588520674895070e-01,3.877185858641763599e-02
4.214180523242208223e-06,8.000091462472931347e-01,2.069589536534812424e-01,3.877900235094087350e-02
4.226329917496224601e-06,8.000092491565611308e-01,2.071592437054675107e-01,3.878614362145322431e-02
4.238514338199613770e-06,8.000093523097143722e-01,2.073597224127393945e-01,3.879328239726317906e-02
4.250733886332894233e-06,8.000094557072966461e-01,2.075603908571145573e-01,3.880041867162144220e-02
4.262988663167711411e-06,8.000095593498536273e-01,2.077612502849559284e-01,3.880755243672676796e-02
4.275278770267676205e-06,8.000096632379222195e-01,2.079623007003561230e-01,3.881468369324693468e-02
4.287604309489201019e-06,8.000097673720403257e-01,2.081635421130727526e-01,3.882181244180186314e-02
4.299965382982353568e-06,8.000098717527471814e-01,2.083649745443942602e-01,3.882893868292530692e-02
