# xs, ys, ls, ks
3.159999999999997274e-06,6.999999997276583619e-01,2.374798134206264622e-01,3.710592821715159167e-02
3.169110213867426918e-06,7.000002979743864540e-01,2.377066870502334284e-01,3.711481734442206165e-02
3.178246692290777820e-06,7.000005969348340740e-01,2.379337691814144007e-01,3.712370285304226331e-02
3.187409510990214710e-06,7.000008966105770725e-01,2.381610598287904890e-01,3.713258474367069073e-02
3.196598745904202189e-06,7.000011970031952968e-01,2.383885590204156968e-01,3.714146301686344770e-02
3.205814473190134502e-06,7.000014981142714809e-01,2.386162667976503005e-01,3.715033767307665546e-02
3.215056769224964880e-06,7.000017999453922446e-01,2.388441832150212107e-01,3.715920871266836789e-02
3.224325710605840815e-06,7.000021024981476492e-01,2.390723083400672633e-01,3.716807613590062537e-02
3.233621374150736793e-06,7.000024057741309758e-01,2.393006422531716304e-01,3.717693994294189036e-02
3.242943836899092961e-06,7.000027097749392802e-01,2.395291850473785511e-01,3.718580013386937194e-02
3.252293176112458441e-06,7.000030145021728378e-01,2.397579368281952672e-01,3.719465670867132950e-02
3.261669469275106285e-06,7.000033199574355880e-01,2.399868977133779169e-01,3.720350966724939035e-02
3.271072794094714905e-06,7.000036261423350226e-01,2.402160678327026622e-01,3.721235900942169994e-02
3.280503228502985141e-06,7.000039330584817421e-01,2.404454473277186644e-01,3.722120473492489257e-02
3.289960850656294170e-06,7.000042407074902329e-01,2.406750363514855162e-01,3.723004684341726239e-02
3.299445738936341791e-06,7.000045490909780899e-01,2.409048350682921891e-01,3.723888533448146965e-02
3.308957971950800522e-06,7.000048582105669048e-01,2.411348436533589934e-01,3.724772020762746882e-02
3.318497628533967818e-06,7.000051680678810451e-01,2.413650622925204992e-01,3.725655146229554099e-02
3.328064787747418284e-06,7.000054786645489857e-01,2.415954911818898321e-01,3.726537909785926361e-02
3.337659528880659281e-06,7.000057900022023105e-01,2.418261305275036244e-01,3.727420311362886207e-02
3.347281931451788220e-06,7.000061020824945857e-01,2.420569815294311700e-01,3.728302350223437062e-02
3.356932075208151981e-06,7.000064149070878150e-01,2.422880456666809956e-01,3.729184025450130863e-02
3.366610040127006749e-06,7.000067284776194665e-01,2.425193229345447843e-01,3.730065337126987901e-02
3.376315906416182087e-06,7.000070427957301167e-01,2.427508133306234828e-01,3.730946285335556140e-02
3.386049754514744169e-06,7.000073578630643389e-01,2.429825168658670820e-01,3.731826870147536557e-02
3.395811665093664503e-06,7.000076736812699263e-01,2.432144335644458588e-01,3.732707091624989926e-02
3.405601719056486130e-06,7.000079902519984465e-01,2.434465634636082121e-01,3.733586949820531103e-02
3.415419997539995742e-06,7.000083075769051311e-01,2.436789066135240378e-01,3.734466444777564259e-02
3.425266581914903425e-06,7.000086256576487642e-01,2.439114630771143655e-01,3.735345576530476469e-02
3.435141553786487677e-06,7.000089444958914608e-01,2.441442329298650349e-01,3.736224345104852823e-02
3.445044994995313265e-06,7.000092640932993326e-01,2.443772162596267450e-01,3.737102750517737326e-02
3.454976987617885138e-06,7.000095844515418220e-01,2.446104131663978942e-01,3.737980792777872291e-02
3.464937613967330287e-06,7.000099055722920349e-01,2.448438237620918223e-01,3.738858471885905810e-02
3.474926956594085110e-06,7.000102274572266303e-01,2.450774481702875374e-01,3.739735787834698455e-02
3.484945098286575162e-06,7.000105501080260417e-01,2.453112865259632347e-01,3.740612740609550874e-02
3.494992122071905056e-06,7.000108735263740334e-01,2.455453389752120241e-01,3.741489330188503548e-02
3.505068111216543294e-06,7.000111977139581443e-01,2.457796056749399771e-01,3.742365556542592842e-02
3.515173149227015138e-06,7.000115226724693551e-01,2.460140867925456054e-01,3.743241419636163247e-02
3.525307319850592943e-06,7.000118484036023103e-01,2.462487825055796609e-01,3.744116919427161599e-02
3.535470707075989877e-06,7.000121749090552070e-01,2.464836930013861727e-01,3.744992055867435443e-02
3.545663395134058297e-06,7.000125021905299061e-01,2.467188184767228065e-01,3.745866828903056389e-02
3.555885468498484744e-06,7.000128302497315991e-01,2.469541591373611011e-01,3.746741238474656649e-02
3.566137011886493399e-06,7.000131590883692523e-01,2.471897151976645279e-01,3.747615284517759326e-02
3.576418110259545313e-06,7.000134887081552737e-01,2.474254868801461782e-01,3.748488966963092750e-02
3.586728848824043137e-06,7.000138191108096208e-01,2.476614745652014060e-01,3.749362285641592851e-02
3.597069313032039238e-06,7.000141502981096497e-01,2.478976808035048829e-01,3.750235239010180771e-02
3.607439588581948907e-06,7.000144822717905280e-01,2.481341063363428356e-01,3.751107826684289825e-02
3.617839761419231793e-06,7.000148150335692154e-01,2.483707510426457488e-01,3.751980048826845937e-02
3.628269917737149573e-06,7.000151485851664468e-01,2.486076148161923405e-01,3.752851905589758147e-02
3.638730143977449513e-06,7.000154829283069535e-01,2.488446975655947691e-01,3.753723397114083066e-02
3.649220526831088252e-06,7.000158180647190198e-01,2.490819992142743466e-01,3.754594523530125488e-02
3.659741153238950933e-06,7.000161539961349266e-01,2.493195197004262342e-01,3.755465284957609784e-02
3.670292110392571610e-06,7.000164907242908408e-01,2.495572589769729788e-01,3.756335681505781898e-02
3.680873485734855339e-06,7.000168282509265927e-01,2.497952170115064208e-01,3.757205713273626541e-02
3.691485366960803662e-06,7.000171665777861207e-01,2.500333937862180833e-01,3.758075380349951145e-02
3.702127842018240515e-06,7.000175057066169160e-01,2.502717892978164604e-01,3.758944682813617627e-02
3.712800999108541949e-06,7.000178456391704662e-01,2.505104035574328702e-01,3.759813620733665207e-02
3.723504926687366693e-06,7.000181863772023672e-01,2.507492365905131804e-01,3.760682194169502612e-02
3.734239713465389260e-06,7.000185279224714341e-01,2.509882884366967382e-01,3.761550403171114165e-02
3.745005448409034328e-06,7.000188702767410343e-01,2.512275591496811455e-01,3.762418247779211050e-02
3.755802220741217046e-06,7.000192134417778655e-01,2.514670487970731005e-01,3.763285728025458216e-02
3.766630119942077834e-06,7.000195574193528447e-01,2.517067574602243063e-01,3.764152843932679071e-02
3.777489235749728195e-06,7.000199022112403302e-01,2.519466852340522811e-01,3.765019595515046308e-02
3.788379658160992293e-06,7.000202478192191213e-01,2.521868322268458473e-01,3.765885982778334473e-02
3.799301477432160390e-06,7.000205942450712371e-01,2.524271985600546886e-01,3.766752005720101770e-02
3.810254784079707553e-06,7.000209414905829153e-01,2.526677843680614211e-01,3.767617664329974553e-02
3.821239668881089016e-06,7.000212895575442795e-01,2.529085897979388986e-01,3.768482958589861043e-02
3.832256222875459736e-06,7.000216384477490061e-01,2.531496150091877562e-01,3.769347888474195579e-02
3.843304537364442653e-06,7.000219881629949903e-01,2.533908601734577437e-01,3.770212453950219644e-02
3.854384703912877042e-06,7.000223387050836799e-01,2.536323254742497979e-01,3.771076654978220560e-02
3.865496814349585077e-06,7.000226900758205195e-01,2.538740111065995730e-01,3.771940491511835414e-02
3.876640960768127386e-06,7.000230422770146177e-01,2.541159172767413765e-01,3.772803963498318203e-02
3.887817235527568771e-06,7.000233953104791906e-01,2.543580442017525645e-01,3.773667070878823637e-02
3.899025731253244766e-06,7.000237491780477717e-01,2.546003927167889147e-01,3.774529813228744840e-02
3.910266540837526514e-06,7.000241038816119588e-01,2.548429656409639255e-01,3.775392188954925649e-02
3.921539757440590719e-06,7.000244594229957373e-01,2.550857632147792708e-01,3.776254197999787121e-02
3.932845474491196373e-06,7.000248158040174307e-01,2.553287853538857011e-01,3.777115840497297095e-02
3.944183785687452169e-06,7.000251730264996919e-01,2.555720319889236425e-01,3.777977116571261396e-02
3.955554784997598311e-06,7.000255310922690599e-01,2.558155030654759576e-01,3.778838026335447353e-02
3.966958566660783247e-06,7.000258900031561815e-01,2.560591985440083818e-01,3.779698569893770455e-02
3.978395225187843783e-06,7.000262497609958112e-01,2.563031183997983575e-01,3.780558747340410919e-02
3.989864855362091977e-06,7.000266103676265894e-01,2.565472626228511577e-01,3.781418558759964965e-02
4.001367552240102881e-06,7.000269718248914863e-01,2.567916312178032956e-01,3.782278004227652979e-02
4.012903411152476869e-06,7.000273341346374689e-01,2.570362242038117806e-01,3.783137083809459678e-02
4.024472527704673118e-06,7.000276972987151680e-01,2.572810416144316603e-01,3.783995797562323543e-02
4.036074997777769399e-06,7.000280613189798773e-01,2.575260834974771318e-01,3.784854145534301967e-02
