# xs, ys, ls, ks
3.159999999999997274e-06,9.500000001400269456e-01,1.150946112239788627e-01,4.006255112905481724e-02
3.169110213867426918e-06,9.500000095486783591e-01,1.152082461717206102e-01,4.006676813947736976e-02
3.178246692290777820e-06,9.500000189801779404e-01,1.153219931560667960e-01,4.007098495938193200e-02
3.187409510990214710e-06,9.500000284345775370e-01,1.154358522929584269e-01,4.007520158804422916e-02
3.196598745904202189e-06,9.500000379119294402e-01,1.155498238542588957e-01,4.007941802268561587e-02
3.205814473190134502e-06,9.500000474122863858e-01,1.156639087985487091e-01,4.008363425150939657e-02
3.215056769224964880e-06,9.500000569357008873e-01,1.157781072809820622e-01,4.008785027336856516e-02
3.224325710605840815e-06,9.500000664822250140e-01,1.158924193160879440e-01,4.009206608896446339e-02
3.233621374150736793e-06,9.500000760519111687e-01,1.160068449249162109e-01,4.009628169890269017e-02
3.242943836899092961e-06,9.500000856448118647e-01,1.161213841349789111e-01,4.010049710369468362e-02
3.252293176112458441e-06,9.500000952609796157e-01,1.162360369801849203e-01,4.010471230375986518e-02
3.261669469275106285e-06,9.500001049004670461e-01,1.163508035007673885e-01,4.010892729942705515e-02
3.271072794094714905e-06,9.500001145633271138e-01,1.164656837432050951e-01,4.011314209093675559e-02
3.280503228502985141e-06,9.500001242496126652e-01,1.165806777601355038e-01,4.011735667844322506e-02
3.289960850656294170e-06,9.500001339593767691e-01,1.166957856102611019e-01,4.012157106201658802e-02
3.299445738936341791e-06,9.500001436926726051e-01,1.168110073582478287e-01,4.012578524164456262e-02
3.308957971950800522e-06,9.500001534495533528e-01,1.169263430746155380e-01,4.012999921723540281e-02
3.318497628533967818e-06,9.500001632300726362e-01,1.170417928356205783e-01,4.013421298861984121e-02
3.328064787747418284e-06,9.500001730342837458e-01,1.171573567231298796e-01,4.013842655555364264e-02
3.337659528880659281e-06,9.500001828622404165e-01,1.172730348244864773e-01,4.014263991771998413e-02
3.347281931451788220e-06,9.500001927139964941e-01,1.173888272323662801e-01,4.014685307473267462e-02
3.356932075208151981e-06,9.500002025896058244e-01,1.175047340446257471e-01,4.015106602613756348e-02
3.366610040127006749e-06,9.500002124891222532e-01,1.176207553641401282e-01,4.015527877141671087e-02
3.376315906416182087e-06,9.500002224126000705e-01,1.177368912986324900e-01,4.015949130999059424e-02
3.386049754514744169e-06,9.500002323600933440e-01,1.178531419604924302e-01,4.016370364122105047e-02
3.395811665093664503e-06,9.500002423316565858e-01,1.179695074665850080e-01,4.016791576441430117e-02
3.405601719056486130e-06,9.500002523273441968e-01,1.180859879380492666e-01,4.017212767882446384e-02
3.415419997539995742e-06,9.500002623472107999e-01,1.182025835000860003e-01,4.017633938365616775e-02
3.425266581914903425e-06,9.500002723913110181e-01,1.183192942827581695e-01,4.018055087805610243e-02
3.435141553786487677e-06,9.500002824597010287e-01,1.184361212699534677e-01,4.018476215052244060e-02
3.445044994995313265e-06,9.500002925524364539e-01,1.185530652134210439e-01,4.018897319254114558e-02
3.454976987617885138e-06,9.500003026695721386e-01,1.186701260721179374e-01,4.019318400551553233e-02
3.464937613967330287e-06,9.500003128111631501e-01,1.187873038122346375e-01,4.019739459074241072e-02
3.474926956594085110e-06,9.500003229772643332e-01,1.189045984071904760e-01,4.020160494941329987e-02
3.484945098286575162e-06,9.500003331679309770e-01,1.190220098376236768e-01,4.020581508261564935e-02
3.494992122071905056e-06,9.500003433832182598e-01,1.191395380913763541e-01,4.021002499133381758e-02
3.505068111216543294e-06,9.500003536231816925e-01,1.192571831634737928e-01,4.021423467645088984e-02
3.515173149227015138e-06,9.500003638878767864e-01,1.193749450560982056e-01,4.021844413874938601e-02
3.525307319850592943e-06,9.500003741773592747e-01,1.194928237785566338e-01,4.022265337891339082e-02
3.535470707075989877e-06,9.500003844916847795e-01,1.196108193472426584e-01,4.022686239752933102e-02
3.545663395134058297e-06,9.500003948309094781e-01,1.197289317855922408e-01,4.023107119508813334e-02
3.555885468498484744e-06,9.500004051950892148e-01,1.198471611240326667e-01,4.023527977198641109e-02
3.566137011886493399e-06,9.500004155842802778e-01,1.199655073999254529e-01,4.023948812852844170e-02
3.576418110259545313e-06,9.500004259985388444e-01,1.200839706575018706e-01,4.024369626492774882e-02
3.586728848824043137e-06,9.500004364379214250e-01,1.202025509477918364e-01,4.024790418130896191e-02
3.597069313032039238e-06,9.500004469024846410e-01,1.203212483285454326e-01,4.025211187770973836e-02
3.607439588581948907e-06,9.500004573922851137e-01,1.204400628641470739e-01,4.025631935408282430e-02
3.617839761419231793e-06,9.500004679073796865e-01,1.205589946255216233e-01,4.026052661029774771e-02
3.628269917737149573e-06,9.500004784478252029e-01,1.206780436900334319e-01,4.026473364614345518e-02
3.638730143977449513e-06,9.500004890136787283e-01,1.207972101413763572e-01,4.026894046132995647e-02
3.649220526831088252e-06,9.500004996049976613e-01,1.209164940694559681e-01,4.027314705549100982e-02
3.659741153238950933e-06,9.500005102218390673e-01,1.210358955702629802e-01,4.027735342818626607e-02
3.670292110392571610e-06,9.500005208642605670e-01,1.211554147457379188e-01,4.028155957890374589e-02
3.680873485734855339e-06,9.500005315323195587e-01,1.212750517036265824e-01,4.028576550706242793e-02
3.691485366960803662e-06,9.500005422260739962e-01,1.213948065573262486e-01,4.028997121201456644e-02
3.702127842018240515e-06,9.500005529455815001e-01,1.215146794257224300e-01,4.029417669304874439e-02
3.712800999108541949e-06,9.500005636909000239e-01,1.216346704330152767e-01,4.029838194939227430e-02
3.723504926687366693e-06,9.500005744620881876e-01,1.217547799730776953e-01,4.030258697711773530e-02
3.734239713465389260e-06,9.500005852592060540e-01,1.218750094298506753e-01,4.030679176076597259e-02
3.745005448409034328e-06,9.500005960823120210e-01,1.219953589603109401e-01,4.031099629931068212e-02
3.755802220741217046e-06,9.500006069314642643e-01,1.221158285430148649e-01,4.031520059380465371e-02
3.766630119942077834e-06,9.500006178067209595e-01,1.222364181638435771e-01,4.031940464520163830e-02
3.777489235749728195e-06,9.500006287081408374e-01,1.223571278159807096e-01,4.032360845435736113e-02
3.788379658160992293e-06,9.500006396357822958e-01,1.224779574998842019e-01,4.032781202203120086e-02
3.799301477432160390e-06,9.500006505897040654e-01,1.225989072232525345e-01,4.033201534888720269e-02
3.810254784079707553e-06,9.500006615699650991e-01,1.227199770009839708e-01,4.033621843549597963e-02
3.821239668881089016e-06,9.500006725766243498e-01,1.228411668551304819e-01,4.034042128233564922e-02
3.832256222875459736e-06,9.500006836097408813e-01,1.229624768148440267e-01,4.034462388979418584e-02
3.843304537364442653e-06,9.500006946693740906e-01,1.230839069163168348e-01,4.034882625817034357e-02
3.854384703912877042e-06,9.500007057555831524e-01,1.232054572027140166e-01,4.035302838767584194e-02
3.865496814349585077e-06,9.500007168684277969e-01,1.233271277240997055e-01,4.035723027843678146e-02
3.876640960768127386e-06,9.500007280079675320e-01,1.234489185373549569e-01,4.036143193049619715e-02
3.887817235527568771e-06,9.500007391742623097e-01,1.235708297060886529e-01,4.036563334381478713e-02
3.899025731253244766e-06,9.500007503673718601e-01,1.236928613005402605e-01,4.036983451827421548e-02
3.910266540837526514e-06,9.500007615873564681e-01,1.238150133974744160e-01,4.037403545367826418e-02
3.921539757440590719e-06,9.500007728342761970e-01,1.239372860800671688e-01,4.037823614975542819e-02
3.932845474491196373e-06,9.500007841081914428e-01,1.240596794377839401e-01,4.038243660616092079e-02
3.944183785687452169e-06,9.500007954091624907e-01,1.241821935662482668e-01,4.038663682247884551e-02
3.955554784997598311e-06,9.500008067372501808e-01,1.243048285671015801e-01,4.039083679822513123e-02
3.966958566660783247e-06,9.500008180925151313e-01,1.244275845478537701e-01,4.039503653284916285e-02
3.978395225187843783e-06,9.500008294750182936e-01,1.245504616217240762e-01,4.039923602573695233e-02
3.989864855362091977e-06,9.500008408848205077e-01,1.246734599074720284e-01,4.040343527621347713e-02
4.001367552240102881e-06,9.500008523219830581e-01,1.247965795292183822e-01,4.040763428354533782e-02
4.012903411152476869e-06,9.500008637865672290e-01,1.249198206475682776e-01,4.041183304659850400e-02
4.024472527704673118e-06,9.500008752786355259e-01,1.250431842251945869e-01,4.041603155542503045e-02
4.036074997777769399e-06,9.500008867982497884e-01,1.251666706712905863e-01,4.042022980623590639e-02
