# xs, ys, ls, ks
3.159999999999997274e-06,8.999999997493709492e-01,1.371318052086088479e-01,3.932877488417575035e-02
3.169110213867426918e-06,9.000000226955756633e-01,1.372664244936955269e-01,3.933411718783099559e-02
3.178246692290777820e-06,9.000000456973737961e-01,1.374011749128923876e-01,3.933945857082504077e-02
3.187409510990214710e-06,9.000000687548916911e-01,1.375360567299201420e-01,3.934479903083746427e-02
3.196598745904202189e-06,9.000000918682586892e-01,1.376710714136388236e-01,3.935013855164556235e-02
3.205814473190134502e-06,9.000001150376019110e-01,1.378062193202151675e-01,3.935547712998907488e-02
3.215056769224964880e-06,9.000001382630473667e-01,1.379415003995830280e-01,3.936081476730329126e-02
3.224325710605840815e-06,9.000001615447213998e-01,1.380769146100573885e-01,3.936615146490986955e-02
3.233621374150736793e-06,9.000001848827504647e-01,1.382124619183268122e-01,3.937148722401808548e-02
3.242943836899092961e-06,9.000002082772615708e-01,1.383481422994398968e-01,3.937682204572638678e-02
3.252293176112458441e-06,9.000002317283819497e-01,1.384839557367857077e-01,3.938215593102341316e-02
3.261669469275106285e-06,9.000002552362389441e-01,1.386199022220671873e-01,3.938748888078968946e-02
3.271072794094714905e-06,9.000002788009604515e-01,1.387559817552690145e-01,3.939282089579879825e-02
3.280503228502985141e-06,9.000003024226744808e-01,1.388921943446176366e-01,3.939815197671944075e-02
3.289960850656294170e-06,9.000003261015093736e-01,1.390285400065348065e-01,3.940348212411645679e-02
3.299445738936341791e-06,9.000003498375938049e-01,1.391650187655836812e-01,3.940881133845306611e-02
3.308957971950800522e-06,9.000003736310565605e-01,1.393016306544074268e-01,3.941413962009220756e-02
3.318497628533967818e-06,9.000003974820269814e-01,1.394383757136602453e-01,3.941946696929868321e-02
3.328064787747418284e-06,9.000004213906345196e-01,1.395752539919302704e-01,3.942479338624078206e-02
3.337659528880659281e-06,9.000004453570089602e-01,1.397122655456543572e-01,3.943011887099270169e-02
3.347281931451788220e-06,9.000004693812804213e-01,1.398494104390244908e-01,3.943544342353617893e-02
3.356932075208151981e-06,9.000004934635793541e-01,1.399866887438854512e-01,3.944076704376263398e-02
3.366610040127006749e-06,9.000005176040362098e-01,1.401241005396235417e-01,3.944608973147576553e-02
3.376315906416182087e-06,9.000005418027821058e-01,1.402616459130459903e-01,3.945141148639344508e-02
3.386049754514744169e-06,9.000005660599482704e-01,1.403993249582512759e-01,3.945673230815061744e-02
3.395811665093664503e-06,9.000005903756661541e-01,1.405371377764892404e-01,3.946205219630090355e-02
3.405601719056486130e-06,9.000006147500677622e-01,1.406750844760113750e-01,3.946737115032018101e-02
3.415419997539995742e-06,9.000006391832849895e-01,1.408131651719109756e-01,3.947268916960814528e-02
3.425266581914903425e-06,9.000006636754503964e-01,1.409513799859525296e-01,3.947800625349201509e-02
3.435141553786487677e-06,9.000006882266966546e-01,1.410897290463898890e-01,3.948332240122880837e-02
3.445044994995313265e-06,9.000007128371567688e-01,1.412282124877741185e-01,3.948863761200819417e-02
3.454976987617885138e-06,9.000007375069639659e-01,1.413668304507491036e-01,3.949395188495583714e-02
3.464937613967330287e-06,9.000007622362539150e-01,1.415055837821018458e-01,3.949926521154811798e-02
3.474926956594085110e-06,9.000007870251640618e-01,1.416444738227095601e-01,3.950457757799234054e-02
3.484945098286575162e-06,9.000008118738279661e-01,1.417835005662188008e-01,3.950988898514932318e-02
3.494992122071905056e-06,9.000008367823795208e-01,1.419226639849389682e-01,3.951519943409672470e-02
