# xs, ys, ls, ks
3.159999999999997274e-06,7.499999999375196458e-01,3.965388152744059536e+00,7.962826373017524162e-01
3.169110213867426918e-06,7.500003235485264153e-01,3.969170088789749862e+00,7.964413310197038243e-01
3.178246692290777820e-06,7.500006479337087972e-01,3.972955555378774761e+00,7.965999668168635139e-01
3.187409510990214710e-06,7.500009730947760911e-01,3.976744550966804681e+00,7.967585447138212373e-01
3.196598745904202189e-06,7.500012990334415930e-01,3.980537074244609119e+00,7.969170647289640641e-01
3.205814473190134502e-06,7.500016257514223739e-01,3.984333124137586779e+00,7.970755268784355252e-01
3.215056769224964880e-06,7.500019532504392794e-01,3.988132699805117198e+00,7.972339311763008141e-01
3.224325710605840815e-06,7.500022815322169301e-01,3.991935800639731635e+00,7.973922776344100072e-01
3.233621374150736793e-06,7.500026105984840541e-01,3.995742426266096103e+00,7.975505662625153036e-01
3.242943836899092961e-06,7.500029404509729325e-01,3.999552576539811444e+00,7.977087970683474083e-01
3.252293176112458441e-06,7.500032710914198431e-01,4.003366251546008669e+00,7.978669700575622414e-01
3.261669469275106285e-06,7.500036025215648383e-01,4.007183451597730262e+00,7.980250852338173218e-01
3.271072794094714905e-06,7.500039347431517456e-01,4.011004177234129386e+00,7.981831425988143991e-01
3.280503228502985141e-06,7.500042677579285000e-01,4.014828429218421313e+00,7.983411421523349816e-01
3.289960850656294170e-06,7.500046015676465894e-01,4.018656208535636765e+00,7.984990838922563228e-01
3.299445738936341791e-06,7.500049361740614984e-01,4.022487516390124362e+00,7.986569678146242524e-01
3.308957971950800522e-06,7.500052715789324864e-01,4.026322354202832798e+00,7.988147939136887032e-01
3.318497628533967818e-06,7.500056077840226987e-01,4.030160723608344320e+00,7.989725621819356860e-01
3.328064787747418284e-06,7.500059447910992771e-01,4.034002626451654194e+00,7.991302726101334741e-01
3.337659528880659281e-06,7.500062826019329165e-01,4.037848064784695268e+00,7.992879251874036584e-01
3.347281931451788220e-06,7.500066212182983083e-01,4.041697040862600510e+00,7.994455199012371338e-01
3.356932075208151981e-06,7.500069606419741408e-01,4.045549557139685781e+00,7.996030567375829179e-01
3.366610040127006749e-06,7.500073008747426551e-01,4.049405616265159047e+00,7.997605356808410448e-01
3.376315906416182087e-06,7.500076419183901999e-01,4.053265221078540037e+00,7.999179567140046743e-01
3.386049754514744169e-06,7.500079837747066769e-01,4.057128374604777044e+00,8.000753198185961423e-01
3.395811665093664503e-06,7.500083264454860954e-01,4.060995080049074168e+00,8.002326249748641374e-01
3.405601719056486130e-06,7.500086699325263506e-01,4.064865340791384618e+00,8.003898721617233036e-01
3.415419997539995742e-06,7.500090142376293345e-01,4.068739160802484101e+00,8.005470613536580515e-01
3.425266581914903425e-06,7.500093593626562249e-01,4.072616578471334847e+00,8.007041922616870977e-01
3.435141553786487677e-06,7.500097053094446631e-01,4.076497615806271568e+00,8.008612647246557970e-01
3.445044994995313265e-06,7.500100520797986503e-01,4.080382271357830604e+00,8.010182787615764965e-01
3.454976987617885138e-06,7.500103996755259628e-01,4.084270543914755969e+00,8.011752343893547845e-01
3.464937613967330287e-06,7.500107480984385955e-01,4.088162432503344768e+00,8.013321316228125823e-01
