# xs, ys, ls, ks
3.159999999999997274e-06,8.000000006586472923e-01,3.043046320176543862e+00,8.110796549755256990e-01
3.169110213867426918e-06,8.000001526644000549e-01,3.045973843360435751e+00,8.112215523927979177e-01
3.178246692290777820e-06,8.000003050353352574e-01,3.048904144791183768e+00,8.113634051453644247e-01
3.187409510990214710e-06,8.000004577722649168e-01,3.051837223648128372e+00,8.115052132363853588e-01
3.196598745904202189e-06,8.000006108760032708e-01,3.054773079289325288e+00,8.116469766668270580e-01
3.205814473190134502e-06,8.000007643473662222e-01,3.057711711250919784e+00,8.117886954354140983e-01
3.215056769224964880e-06,8.000009181871715613e-01,3.060653119246381948e+00,8.119303695386879127e-01
3.224325710605840815e-06,8.000010723962388548e-01,3.063597303165591423e+00,8.120719989710263320e-01
3.233621374150736793e-06,8.000012269753895566e-01,3.066544263073772036e+00,8.122135837247199674e-01
3.242943836899092961e-06,8.000013819254468972e-01,3.069493999210267887e+00,8.123551237899491184e-01
3.252293176112458441e-06,8.000015372472361053e-01,3.072446511987161344e+00,8.124966191548903538e-01
3.261669469275106285e-06,8.000016929415838529e-01,3.075401801987712513e+00,8.126380698056916430e-01
3.271072794094714905e-06,8.000018490093192547e-01,3.078359869964649498e+00,8.127794757265700554e-01
3.280503228502985141e-06,8.000020054512726464e-01,3.081320716838260143e+00,8.129208368998366296e-01
3.289960850656294170e-06,8.000021622682766953e-01,3.084284343694311925e+00,8.130621533059034789e-01
3.299445738936341791e-06,8.000023194611656230e-01,3.087250751781784430e+00,8.132034249233992540e-01
3.308957971950800522e-06,8.000024770307755384e-01,3.090219942510404660e+00,8.133446517291691436e-01
3.318497628533967818e-06,8.000026349779444379e-01,3.093191917447990047e+00,8.134858336983352700e-01
3.328064787747418284e-06,8.000027933035122052e-01,3.096166678317582299e+00,8.136269708043428750e-01
3.337659528880659281e-06,8.000029520083206114e-01,3.099144226994373863e+00,8.137680630190473607e-01
3.347281931451788220e-06,8.000031110932128708e-01,3.102124565502416775e+00,8.139091103127142901e-01
3.356932075208151981e-06,8.000032705590346405e-01,3.105107696011112584e+00,8.140501126541206389e-01
3.366610040127006749e-06,8.000034304066330204e-01,3.108093620831470449e+00,8.141910700106027576e-01
3.376315906416182087e-06,8.000035906368569982e-01,3.111082342412133439e+00,8.143319823481078856e-01
3.386049754514744169e-06,8.000037512505575599e-01,3.114073863335164560e+00,8.144728496312438892e-01
3.395811665093664503e-06,8.000039122485872456e-01,3.117068186311581890e+00,8.146136718233769614e-01
3.405601719056486130e-06,8.000040736318050349e-01,3.120065319484372157e+00,8.147544488311559974e-01
3.415419997539995742e-06,8.000042354010840073e-01,3.123065287688190583e+00,8.148951803878023981e-01
3.425266581914903425e-06,8.000043975572821431e-01,3.126068093584473573e+00,8.150358664596257796e-01
3.435141553786487677e-06,8.000045601012567564e-01,3.129073737188492021e+00,8.151765070404941582e-01
3.445044994995313265e-06,8.000047230338674931e-01,3.132082218687410879e+00,8.153171021223197812e-01
3.454976987617885138e-06,8.000048863559754420e-01,3.135093538438707306e+00,8.154576516950857723e-01
3.464937613967330287e-06,8.000050500684439125e-01,3.138107696968421845e+00,8.155981557469154097e-01
3.474926956594085110e-06,8.000052141721379906e-01,3.141124694969236408e+00,8.157386142640561388e-01
3.484945098286575162e-06,8.000053786679246492e-01,3.144144533298356414e+00,8.158790272309950353e-01
3.494992122071905056e-06,8.000055435566728601e-01,3.147167212975217510e+00,8.160193946304481472e-01
3.505068111216543294e-06,8.000057088392533711e-01,3.150192735178989345e+00,8.161597164434475360e-01
3.515173149227015138e-06,8.000058745165390395e-01,3.153221101245879066e+00,8.162999926493537117e-01
3.525307319850592943e-06,8.000060405894043880e-01,3.156252312666233628e+00,8.164402232259124759e-01
3.535470707075989877e-06,8.000062070587260488e-01,3.159286371081424072e+00,8.165804081493490685e-01
3.545663395134058297e-06,8.000063739253823192e-01,3.162323278280518402e+00,8.167205473943504046e-01
3.555885468498484744e-06,8.000065411902537171e-01,3.165363036196724433e+00,8.168606409341929719e-01
3.566137011886493399e-06,8.000067088542223148e-01,3.168405646903607931e+00,8.170006887407286200e-01
3.576418110259545313e-06,8.000068769181724049e-01,3.171451112611066492e+00,8.171406907844858125e-01
3.586728848824043137e-06,8.000070453829900563e-01,3.174499435661069846e+00,8.172806470347300234e-01
3.597069313032039238e-06,8.000072142495630034e-01,3.177550618523143466e+00,8.174205574595081458e-01
3.607439588581948907e-06,8.000073835187812010e-01,3.180604663789599051e+00,8.175604220257017829e-01
3.617839761419231793e-06,8.000075531915364913e-01,3.183661574170491448e+00,8.177002406991533690e-01
3.628269917737149573e-06,8.000077232687222706e-01,3.186721352488327774e+00,8.178400134446377479e-01
3.638730143977449513e-06,8.000078937512341559e-01,3.189784001672472780e+00,8.179797402260096106e-01
3.649220526831088252e-06,8.000080646399696516e-01,3.192849524753285539e+00,8.181194210062496808e-01
3.659741153238950933e-06,8.000082359358480222e-01,3.195917944659612875e+00,8.182590555528488352e-01
3.670292110392571610e-06,8.000084076397910859e-01,3.198989284479043960e+00,8.183986436338823722e-01
3.680873485734855339e-06,8.000085797526964582e-01,3.202063542729854717e+00,8.185381852597100050e-01
3.691485366960803662e-06,8.000087522754641967e-01,3.205140718088050011e+00,8.186776804389008788e-01
3.702127842018240515e-06,8.000089252089961356e-01,3.208220809420277764e+00,8.188171291778125749e-01
3.712800999108541949e-06,8.000090985541962185e-01,3.211303815783575821e+00,8.189565314806941387e-01
3.723504926687366693e-06,8.000092723119704985e-01,3.214389736424983823e+00,8.190958873496505532e-01
3.734239713465389260e-06,8.000094464832270269e-01,3.217478570781011182e+00,8.192351967847493199e-01
3.745005448409034328e-06,8.000096210688757425e-01,3.220570318476956295e+00,8.193744597839778265e-01
3.755802220741217046e-06,8.000097960698288047e-01,3.223664979326078317e+00,8.195136763433072957e-01
3.766630119942077834e-06,8.000099714870004819e-01,3.226762553328609506e+00,8.196528464567496286e-01
3.777489235749728195e-06,8.000101473213068193e-01,3.229863040670605479e+00,8.197919701163502992e-01
3.788379658160992293e-06,8.000103235736659713e-01,3.232966441722635587e+00,8.199310473122469745e-01
3.799301477432160390e-06,8.000105002449984237e-01,3.236072757038293002e+00,8.200700780326872774e-01
3.810254784079707553e-06,8.000106773362263279e-01,3.239181987352528935e+00,8.202090622641087236e-01
3.821239668881089016e-06,8.000108548482740556e-01,3.242294133579820770e+00,8.203479999911209575e-01
3.832256222875459736e-06,8.000110327820679768e-01,3.245409196812129249e+00,8.204868911966105571e-01
3.843304537364442653e-06,8.000112111385366820e-01,3.248527178316681585e+00,8.206257358617321529e-01
3.854384703912877042e-06,8.000113899186105382e-01,3.251648079533544067e+00,8.207645339659386252e-01
3.865496814349585077e-06,8.000115691232220216e-01,3.254771902072997491e+00,8.209032854871196605e-01
3.876640960768127386e-06,8.000117487533058291e-01,3.257898647712700768e+00,8.210419904015466841e-01
3.887817235527568771e-06,8.000119288097985448e-01,3.261028318394636027e+00,8.211806486839723362e-01
3.899025731253244766e-06,8.000121092936387512e-01,3.264160916221837461e+00,8.213192603076731046e-01
3.910266540837526514e-06,8.000122902057672514e-01,3.267296443454879906e+00,8.214578252444848516e-01
3.921539757440590719e-06,8.000124715471267356e-01,3.270434902508147612e+00,8.215963434648898556e-01
3.932845474491196373e-06,8.000126533186618927e-01,3.273576295945848091e+00,8.217348149380292455e-01
3.944183785687452169e-06,8.000128355213196318e-01,3.276720626477785281e+00,8.218732396317900424e-01
3.955554784997598311e-06,8.000130181560487497e-01,3.279867896954876461e+00,8.220116175128460156e-01
3.966958566660783247e-06,8.000132012238018175e-01,3.283018111872428868e+00,8.221499485329317736e-01
3.978395225187843783e-06,8.000133847255671560e-01,3.286171305956510746e+00,8.222882323677573879e-01
3.989864855362091977e-06,8.000135686623099929e-01,3.289327491729851616e+00,8.224264688984614935e-01
4.001367552240102881e-06,8.000137530349817894e-01,3.292486668146692885e+00,8.225646581305525729e-01
4.012903411152476869e-06,8.000139378445367822e-01,3.295648834354290013e+00,8.227028000675193908e-01
4.024472527704673118e-06,8.000141230919307622e-01,3.298813989692378712e+00,8.228408947108292182e-01
4.036074997777769399e-06,8.000143087781220741e-01,3.301982133692469290e+00,8.229789420600237548e-01
4.047710917529270142e-06,8.000144949040710607e-01,3.305153266077000662e+00,8.231169421126924846e-01
4.059380383393897568e-06,8.000146814707400633e-01,3.308327386758325606e+00,8.232548948645277420e-01
4.071083492084393828e-06,8.000148684790939768e-01,3.311504495837540141e+00,8.233928003093673453e-01
4.082820340592321448e-06,8.000150559300994724e-01,3.314684593603137053e+00,8.235306584392141360e-01
4.094591026188868014e-06,8.000152438247254416e-01,3.317867680529483110e+00,8.236684692442661770e-01
4.106395646425653391e-06,8.000154321639432187e-01,3.321053757275125307e+00,8.238062327129735962e-01
4.118234299135532712e-06,8.000156209487260250e-01,3.324242824680901265e+00,8.239439488320652316e-01
4.130107082433415455e-06,8.000158101800491917e-01,3.327434883767863116e+00,8.240816175865841586e-01
