# xs, ys, ls, ks
3.159999999999997274e-06,9.999899997602880175e-01,9.858573537201823500e-01,8.521568804169291633e-01
3.169110213867426918e-06,9.999899997622070380e-01,9.868298310159446807e-01,8.522067746069900140e-01
3.178246692290777820e-06,9.999899997641307214e-01,9.878033163437112130e-01,8.522567874711765024e-01
3.187409510990214710e-06,9.999899997660591788e-01,9.887778107386036019e-01,8.523069187296706817e-01
3.196598745904202189e-06,9.999899997679921881e-01,9.897533152686017743e-01,8.523571681011423706e-01
3.205814473190134502e-06,9.999899997699299714e-01,9.907298310328009894e-01,8.524075353028779389e-01
3.215056769224964880e-06,9.999899997718723066e-01,9.917073640432203518e-01,8.524580197694489048e-01
3.224325710605840815e-06,9.999899997738195268e-01,9.926859227340958380e-01,8.525086208000809407e-01
3.233621374150736793e-06,9.999899997757714099e-01,9.936655069523139261e-01,8.525593381913616486e-01
3.242943836899092961e-06,9.999899997777280669e-01,9.946461164724533788e-01,8.526101717435060623e-01
3.252293176112458441e-06,9.999899997796893869e-01,9.956277511268172287e-01,8.526611212529321415e-01
3.261669469275106285e-06,9.999899997816554809e-01,9.966104108053821520e-01,8.527121865122824218e-01
3.271072794094714905e-06,9.999899997836264598e-01,9.975940954557166451e-01,8.527633673105364798e-01
3.280503228502985141e-06,9.999899997856021017e-01,9.985788050828456885e-01,8.528146634329960563e-01
3.289960850656294170e-06,9.999899997875825175e-01,9.995645397490767747e-01,8.528660746614185051e-01
3.299445738936341791e-06,9.999899997895678183e-01,1.000551299573777975e+00,8.529176007740482124e-01
3.308957971950800522e-06,9.999899997915578931e-01,1.001539084733109153e+00,8.529692415456905374e-01
3.318497628533967818e-06,9.999899997935527418e-01,1.002527895459704999e+00,8.530209967477594413e-01
3.328064787747418284e-06,9.999899997955524755e-01,1.003517732042306543e+00,8.530728661483887310e-01
3.337659528880659281e-06,9.999899997975570942e-01,1.004508594825340939e+00,8.531248495124590381e-01
3.347281931451788220e-06,9.999899997995664869e-01,1.005500484208448508e+00,8.531769466017328218e-01
3.356932075208151981e-06,9.999899998015807645e-01,1.006493400645953828e+00,8.532291571748548131e-01
3.366610040127006749e-06,9.999899998035999271e-01,1.007487344646279537e+00,8.532814809874837980e-01
3.376315906416182087e-06,9.999899998056239747e-01,1.008482316771303067e+00,8.533339177923731089e-01
3.386049754514744169e-06,9.999899998076529073e-01,1.009478317635650768e+00,8.533864673394516709e-01
3.395811665093664503e-06,9.999899998096868359e-01,1.010475347905932075e+00,8.534391293758673003e-01
3.405601719056486130e-06,9.999899998117255384e-01,1.011473408299908616e+00,8.534919036461503516e-01
3.415419997539995742e-06,9.999899998137692370e-01,1.012472499585596486e+00,8.535447898922391419e-01
3.425266581914903425e-06,9.999899998158179315e-01,1.013472622580304128e+00,8.535977878536372687e-01
3.435141553786487677e-06,9.999899998178715110e-01,1.014473778149594718e+00,8.536508972674049511e-01
3.445044994995313265e-06,9.999899998199300866e-01,1.015475967206183938e+00,8.537041178683943965e-01
3.454976987617885138e-06,9.999899998219936581e-01,1.016479190708758695e+00,8.537574493892536864e-01
3.464937613967330287e-06,9.999899998240622256e-01,1.017483449660721684e+00,8.538108915605470139e-01
3.474926956594085110e-06,9.999899998261357892e-01,1.018488745108859339e+00,8.538644441108890204e-01
3.484945098286575162e-06,9.999899998282143487e-01,1.019495078225910678e+00,8.539181067626052668e-01
3.494992122071905056e-06,9.999899998302979043e-01,1.020502458589764627e+00,8.539718787947491174e-01
3.505068111216543294e-06,9.999899998323865669e-01,1.021510892024950712e+00,8.540257596897699033e-01
3.515173149227015138e-06,9.999899998344802254e-01,1.022520378386434059e+00,8.540797492467041563e-01
3.525307319850592943e-06,9.999899998365789910e-01,1.023530917588011180e+00,8.541338472611041954e-01
3.535470707075989877e-06,9.999899998386827527e-01,1.024542509602176077e+00,8.541880535250300222e-01
3.545663395134058297e-06,9.999899998407916213e-01,1.025555154459940388e+00,8.542423678271887644e-01
3.555885468498484744e-06,9.999899998429055969e-01,1.026568852250606900e+00,8.542967899529457787e-01
3.566137011886493399e-06,9.999899998450245686e-01,1.027583603121493994e+00,8.543513196843739443e-01
3.576418110259545313e-06,9.999899998471487583e-01,1.028599407277610123e+00,8.544059568003836702e-01
3.586728848824043137e-06,9.999899998492780551e-01,1.029616264981277451e+00,8.544607010767523159e-01
3.597069313032039238e-06,9.999899998514125699e-01,1.030634176551699976e+00,8.545155522861671571e-01
3.607439588581948907e-06,9.999899998535520806e-01,1.031653142364480358e+00,8.545705101983436247e-01
3.617839761419231793e-06,9.999899998556969205e-01,1.032673162851073245e+00,8.546255745800770409e-01
3.628269917737149573e-06,9.999899998578468674e-01,1.033694238498190643e+00,8.546807451953141177e-01
3.638730143977449513e-06,9.999899998600019213e-01,1.034716369847137107e+00,8.547360218052573178e-01
3.649220526831088252e-06,9.999899998621621933e-01,1.035739557493088991e+00,8.547914041684011588e-01
3.659741153238950933e-06,9.999899998643277943e-01,1.036763802084306851e+00,8.548468920406556704e-01
3.670292110392571610e-06,9.999899998664985024e-01,1.037789104321284128e+00,8.549024851754152277e-01
3.680873485734855339e-06,9.999899998686744285e-01,1.038815464955827661e+00,8.549581833236236106e-01
3.691485366960803662e-06,9.999899998708556836e-01,1.039842884790067590e+00,8.550139862339322105e-01
3.702127842018240515e-06,9.999899998730421569e-01,1.040871364675397537e+00,8.550698936526732741e-01
3.712800999108541949e-06,9.999899998752339592e-01,1.041900905511339737e+00,8.551259053240943819e-01
3.723504926687366693e-06,9.999899998774309795e-01,1.042931508244335337e+00,8.551820209903451264e-01
3.734239713465389260e-06,9.999899998796332179e-01,1.043963173866456540e+00,8.552382403916326536e-01
3.745005448409034328e-06,9.999899998818408964e-01,1.044995903414038807e+00,8.552945632662861675e-01
3.755802220741217046e-06,9.999899998840537929e-01,1.046029697966231131e+00,8.553509893509096962e-01
3.766630119942077834e-06,9.999899998862721295e-01,1.047064560230595687e+00,8.554075183030671603e-01
3.777489235749728195e-06,9.999899998884956842e-01,1.048100498730232033e+00,8.554641494990758988e-01
3.788379658160992293e-06,9.999899998907246790e-01,1.049137514676796279e+00,8.555208826742503048e-01
3.799301477432160390e-06,9.999899998929590028e-01,1.050175608253646642e+00,8.555777176140233475e-01
3.810254784079707553e-06,9.999899998951986557e-01,1.051214779701029611e+00,8.556346541008621465e-01
3.821239668881089016e-06,9.999899998974437487e-01,1.052255029315595447e+00,8.556916919143983113e-01
3.832256222875459736e-06,9.999899998996942818e-01,1.053296357449847287e+00,8.557488308314328274e-01
3.843304537364442653e-06,9.999899999019501440e-01,1.054338764511537185e+00,8.558060706260636197e-01
3.854384703912877042e-06,9.999899999042114462e-01,1.055382250962998869e+00,8.558634110697715958e-01
3.865496814349585077e-06,9.999899999064781886e-01,1.056426817320418543e+00,8.559208519314061014e-01
3.876640960768127386e-06,9.999899999087504820e-01,1.057472464153041747e+00,8.559783929773793210e-01
3.887817235527568771e-06,9.999899999110281046e-01,1.058519192082312044e+00,8.560360339716517331e-01
3.899025731253244766e-06,9.999899999133112782e-01,1.059567001780943984e+00,8.560937746758825462e-01
3.910266540837526514e-06,9.999899999155998920e-01,1.060615893971922574e+00,8.561516148494651146e-01
3.921539757440590719e-06,9.999899999178940568e-01,1.061665869427433018e+00,8.562095542496587219e-01
3.932845474491196373e-06,9.999899999201937728e-01,1.062716928967715413e+00,8.562675926316274388e-01
3.944183785687452169e-06,9.999899999224989289e-01,1.063769073459841286e+00,8.563257297485913355e-01
3.955554784997598311e-06,9.999899999248096361e-01,1.064822303816413518e+00,8.563839653518674488e-01
3.966958566660783247e-06,9.999899999271258944e-01,1.065876620994184565e+00,8.564422991909999006e-01
3.978395225187843783e-06,9.999899999294477038e-01,1.066932025992590960e+00,8.565007310138401664e-01
3.989864855362091977e-06,9.999899999317750643e-01,1.067988519852203444e+00,8.565592605666596526e-01
4.001367552240102881e-06,9.999899999341080870e-01,1.069046103653089164e+00,8.566178875942390691e-01
4.012903411152476869e-06,9.999899999364466607e-01,1.070104778513079946e+00,8.566766118399959939e-01
4.024472527704673118e-06,9.999899999387908966e-01,1.071164545585956640e+00,8.567354330460807965e-01
4.036074997777769399e-06,9.999899999411406837e-01,1.072225406059528874e+00,8.567943509534764468e-01
4.047710917529270142e-06,9.999899999434961329e-01,1.073287366722228908e+00,8.568533650509666533e-01
4.059380383393897568e-06,9.999899999458572442e-01,1.074350436487909288e+00,8.569124747352729887e-01
4.071083492084393828e-06,9.999899999482240176e-01,1.075414615139012264e+00,8.569716798172108962e-01
4.082820340592321448e-06,9.999899999505965642e-01,1.076479902419420043e+00,8.570309801088830115e-01
4.094591026188868014e-06,9.999899999529746619e-01,1.077546298136240699e+00,8.570903754191439017e-01
4.106395646425653391e-06,9.999899999553585328e-01,1.078613802159752444e+00,8.571498655536422540e-01
4.118234299135532712e-06,9.999899999577480658e-01,1.079682414423299042e+00,8.572094503149038092e-01
4.130107082433415455e-06,9.999899999601433720e-01,1.080752134923142371e+00,8.572691295023434632e-01
4.142014094717072674e-06,9.999899999625444513e-01,1.081822963718261921e+00,8.573289029123315474e-01
4.153955434667952681e-06,9.999899999649511928e-01,1.082894900930105209e+00,8.573887703382813141e-01
4.165931201252002676e-06,9.999899999673638185e-01,1.083967946742286692e+00,8.574487315706663670e-01
4.177941493720485283e-06,9.999899999697821062e-01,1.085042101400232717e+00,8.575087863971145863e-01
4.189986411610802715e-06,9.999899999722062782e-01,1.086117365210769403e+00,8.575689346024329973e-01
4.202066054747320936e-06,9.999899999746361123e-01,1.087193738541655241e+00,8.576291759687405536e-01
4.214180523242208223e-06,9.999899999770719417e-01,1.088271221821054846e+00,8.576895102754543698e-01
4.226329917496224601e-06,9.999899999795135441e-01,1.089349815536946986e+00,8.577499372993945270e-01
4.238514338199613770e-06,9.999899999819609198e-01,1.090429520236479544e+00,8.578104568148624542e-01
4.250733886332894233e-06,9.999899999844141796e-01,1.091510336525249647e+00,8.578710685937119829e-01
4.262988663167711411e-06,9.999899999868733236e-01,1.092592265066524737e+00,8.579317724054031924e-01
4.275278770267676205e-06,9.999899999893383518e-01,1.093675306580390805e+00,8.579925680170991109e-01
4.287604309489201019e-06,9.999899999918093751e-01,1.094759461842831794e+00,8.580534551937032406e-01
4.299965382982353568e-06,9.999899999942861717e-01,1.095844731684737505e+00,8.581144336980327525e-01
4.312362093191693746e-06,9.999899999967689634e-01,1.096931116990834898e+00,8.581755032907814051e-01
4.324794542857128285e-06,9.999899999992576394e-01,1.098018618698543447e+00,8.582366637306735324e-01
4.337262835014762019e-06,9.999900000017523105e-01,1.099107237796752345e+00,8.582979147745564141e-01
4.349767072997749158e-06,9.999900000042529769e-01,1.100196975324515325e+00,8.583592561774473495e-01
4.362307360437152172e-06,9.999900000067595274e-01,1.101287832369662434e+00,8.584206876926623320e-01
4.374883801262798994e-06,9.999900000092721841e-01,1.102379810067326327e+00,8.584822090718777776e-01
4.387496499704146991e-06,9.999900000117907251e-01,1.103472909964680060e+00,8.585438200501342987e-01
4.400145560291141858e-06,9.999900000143153722e-01,1.104567143539910257e+00,8.586055199541050564e-01
4.412831087855089212e-06,9.999900000168460146e-01,1.105662515619967312e+00,8.586673083892447655e-01
4.425553187529521105e-06,9.999900000193826521e-01,1.106759026042303473e+00,8.587291851673805043e-01
4.438311964751074405e-06,9.999900000219253959e-01,1.107856674708763700e+00,8.587911500973685053e-01
4.451107525260331891e-06,9.999900000244742460e-01,1.108955461585423796e+00,8.588532029851443372e-01
4.463939975102752300e-06,9.999900000270292022e-01,1.110055386702389679e+00,8.589153436337864100e-01
4.476809420629510582e-06,9.999900000295901537e-01,1.111156450153534037e+00,8.589775718435419538e-01
4.489715968498389829e-06,9.999900000321573224e-01,1.112258652096184797e+00,8.590398874119334893e-01
4.502659725674667263e-06,9.999900000347305973e-01,1.113361992750756313e+00,8.591022901337272977e-01
4.515640799431996009e-06,9.999900000373099784e-01,1.114466472400325259e+00,8.591647798011029513e-01
4.528659297353298705e-06,9.999900000398954658e-01,1.115572091390146348e+00,8.592273562036571999e-01
4.541715327331657739e-06,9.999900000424872815e-01,1.116678850127107214e+00,8.592900191284565947e-01
4.554808997571206325e-06,9.999900000450850923e-01,1.117786749079121567e+00,8.593527683601180911e-01
