# xs, ys, ls, ks
3.159999999999997274e-06,9.999900006846257350e-01,9.588591149528789825e-02,4.086927093697165225e-02
3.169110213867426918e-06,9.999900006862378898e-01,9.598110074513763190e-02,4.087227188051847926e-02
3.178246692290777820e-06,9.999900006878539305e-01,9.607638536276408292e-02,4.087527337043235509e-02
3.187409510990214710e-06,9.999900006894739679e-01,9.617176538726156243e-02,4.087827540709398910e-02
3.196598745904202189e-06,9.999900006910980022e-01,9.626724086318277918e-02,4.088127799079518260e-02
3.205814473190134502e-06,9.999900006927259222e-01,9.636281184047561232e-02,4.088428112174117418e-02
3.215056769224964880e-06,9.999900006943577280e-01,9.645847837441393069e-02,4.088728480005185406e-02
3.224325710605840815e-06,9.999900006959936416e-01,9.655424052552237513e-02,4.089028902576451879e-02
3.233621374150736793e-06,9.999900006976334410e-01,9.665009835949460448e-02,4.089329379883562682e-02
3.242943836899092961e-06,9.999900006992772372e-01,9.674605194710517164e-02,4.089629911914257482e-02
3.252293176112458441e-06,9.999900007009250302e-01,9.684210136411459946e-02,4.089930498648646634e-02
3.261669469275106285e-06,9.999900007025768200e-01,9.693824669116721249e-02,4.090231140059403386e-02
3.271072794094714905e-06,9.999900007042327177e-01,9.703448801368266818e-02,4.090531836112050457e-02
3.280503228502985141e-06,9.999900007058925011e-01,9.713082542173927247e-02,4.090832586765097423e-02
3.289960850656294170e-06,9.999900007075563924e-01,9.722725900995023152e-02,4.091133391970445954e-02
3.299445738936341791e-06,9.999900007092242804e-01,9.732378887733214579e-02,4.091434251673530670e-02
3.308957971950800522e-06,9.999900007108962763e-01,9.742041512716537177e-02,4.091735165813661229e-02
3.318497628533967818e-06,9.999900007125722690e-01,9.751713812398099535e-02,4.092036133950228277e-02
3.328064787747418284e-06,9.999900007142523695e-01,9.761395896254902727e-02,4.092337154586120351e-02
3.337659528880659281e-06,9.999900007159365778e-01,9.771087773757804185e-02,4.092638227685260061e-02
