# xs, ys, ls, ks
3.159999999999997274e-06,8.499999992427433870e-01,1.616298891436915020e-01,3.863252983079689534e-02
3.169110213867426918e-06,8.500000435002679211e-01,1.617877392819261906e-01,3.863900562630735031e-02
3.178246692290777820e-06,8.500000878647862024e-01,1.619457407398657567e-01,3.864547964185324064e-02
3.187409510990214710e-06,8.500001323365390382e-01,1.621038935999703223e-01,3.865195187735126492e-02
3.196598745904202189e-06,8.500001769157674580e-01,1.622621979531703451e-01,3.865842233263199618e-02
3.205814473190134502e-06,8.500002216027133795e-01,1.624206538987141291e-01,3.866489100744227581e-02
3.215056769224964880e-06,8.500002663976190531e-01,1.625792615440042055e-01,3.867135790144757279e-02
3.224325710605840815e-06,8.500003113007272848e-01,1.627380210044220843e-01,3.867782301423516172e-02
3.233621374150736793e-06,8.500003563122813244e-01,1.628969324031409316e-01,3.868428634531587140e-02
3.242943836899092961e-06,8.500004014325251989e-01,1.630559958709263402e-01,3.869074789412772775e-02
3.252293176112458441e-06,8.500004466617031573e-01,1.632152115459242769e-01,3.869720766003850038e-02
3.261669469275106285e-06,8.500004920000603370e-01,1.633745795734356798e-01,3.870366564234861695e-02
3.271072794094714905e-06,8.500005374478420972e-01,1.635341001056788424e-01,3.871012184029443137e-02
3.280503228502985141e-06,8.500005830052953515e-01,1.636937735156842322e-01,3.871657625100653061e-02
3.289960850656294170e-06,8.500006286726708993e-01,1.638536011475117682e-01,3.872302886238824376e-02
3.299445738936341791e-06,8.500006744502159872e-01,1.640135832086141165e-01,3.872947967325195140e-02
3.308957971950800522e-06,8.500007203381776399e-01,1.641737197078095289e-01,3.873592868430018876e-02
3.318497628533967818e-06,8.500007663368032151e-01,1.643340106631160091e-01,3.874237589613820781e-02
3.328064787747418284e-06,8.500008124463409587e-01,1.644944561016674911e-01,3.874882130927569807e-02
3.337659528880659281e-06,8.500008586670394495e-01,1.646550560596207191e-01,3.875526492412869478e-02
3.347281931451788220e-06,8.500009049991477106e-01,1.648158105820523578e-01,3.876170674102134839e-02
3.356932075208151981e-06,8.500009514429156532e-01,1.649767197228464155e-01,3.876814676018858208e-02
3.366610040127006749e-06,8.500009979985935216e-01,1.651377835445714815e-01,3.877458498177745877e-02
3.376315906416182087e-06,8.500010446664320041e-01,1.652990021183473046e-01,3.878102140584997748e-02
3.386049754514744169e-06,8.500010914466826772e-01,1.654603755237008533e-01,3.878745603238500234e-02
3.395811665093664503e-06,8.500011383395973397e-01,1.656219038484110229e-01,3.879388886128086467e-02
3.405601719056486130e-06,8.500011853454285671e-01,1.657835871883422685e-01,3.880031989235778467e-02
3.415419997539995742e-06,8.500012324644293793e-01,1.659454256472660261e-01,3.880674912536022370e-02
3.425266581914903425e-06,8.500012796968533513e-01,1.661074193366708363e-01,3.881317655995947247e-02
3.435141553786487677e-06,8.500013270429547241e-01,1.662695683755588683e-01,3.881960219575675969e-02
3.445044994995313265e-06,8.500013745029879608e-01,1.664318728902312028e-01,3.882602603228560434e-02
3.454976987617885138e-06,8.500014220772085238e-01,1.665943330140587930e-01,3.883244806901475082e-02
3.464937613967330287e-06,8.500014697658722085e-01,1.667569488872404915e-01,3.883886830535158985e-02
3.474926956594085110e-06,8.500015175692352543e-01,1.669197206565473102e-01,3.884528674064442050e-02
3.484945098286575162e-06,8.500015654875545668e-01,1.670826484750522201e-01,3.885170337418621805e-02
3.494992122071905056e-06,8.500016135210877177e-01,1.672457325018455176e-01,3.885811820521761079e-02
3.505068111216543294e-06,8.500016616700927230e-01,1.674089729017352868e-01,3.886453123293050899e-02
3.515173149227015138e-06,8.500017099348280425e-01,1.675723698449820831e-01,3.887094245647049195e-02
3.525307319850592943e-06,8.500017583155584644e-01,1.677359246515458813e-01,3.887735186463144726e-02
3.535470707075989877e-06,8.500018068125483328e-01,1.678996384427386135e-01,3.888375944809292079e-02
3.545663395134058297e-06,8.500018554260565518e-01,1.680635111478853139e-01,3.889016520830479440e-02
3.555885468498484744e-06,8.500019041563425803e-01,1.682275427065141882e-01,3.889656914660815507e-02
3.566137011886493399e-06,8.500019530036663218e-01,1.683917330683494529e-01,3.890297126423741120e-02
3.576418110259545313e-06,8.500020019682885675e-01,1.685560821932971520e-01,3.890937156232066735e-02
3.586728848824043137e-06,8.500020510504704419e-01,1.687205900514234524e-01,3.891577004188196548e-02
3.597069313032039238e-06,8.500021002504738465e-01,1.688852566229250562e-01,3.892216670384166660e-02
3.607439588581948907e-06,8.500021495685611272e-01,1.690500818980921194e-01,3.892856154901871979e-02
3.617839761419231793e-06,8.500021990049952958e-01,1.692150658772620386e-01,3.893495457813173771e-02
3.628269917737149573e-06,8.500022485600398081e-01,1.693802085707662441e-01,3.894134579180075217e-02
3.638730143977449513e-06,8.500022982339590083e-01,1.695455099988668890e-01,3.894773519054856026e-02
